first_name,last_name,death_year,bio_url,nationality,art_movement,author_id,bio_info,birth_year
Pieter Fransz. de,Grebber,1653,http://www.the-athenaeum.org/people/detail.php?ID=10960,Dutch,,10960,,1600
Nikolai,Pimonenko,1912,http://www.the-athenaeum.org/people/detail.php?ID=5378,Ukrainian,,5378,,1862
Patrick William,Adam,1929,http://www.the-athenaeum.org/people/detail.php?ID=2384,Scottish,,2384,,1854
Josef,Grassi,1838,http://www.the-athenaeum.org/people/detail.php?ID=5242,Austrian,,5242,,1757
Franz Seraph,Von lenbach,1904,http://www.the-athenaeum.org/people/detail.php?ID=281,German,,281,"German Realist painter (Schrobenhausen, 13 December 1836 - Munich, 6 May 1904).
External links:",1836
Thomas,Baines,1875,http://www.the-athenaeum.org/people/detail.php?ID=7760,South African,,7760,,1820
Juan Francisco,Gonzalez escobar,1933,http://www.the-athenaeum.org/people/detail.php?ID=10209,Chilean,,10209,,1853
Theodore,Wores,1939,http://www.the-athenaeum.org/people/detail.php?ID=1806,American,,1806,,1860
Jose Benlliure,Gil,1937,http://www.the-athenaeum.org/people/detail.php?ID=3069,Spanish,,3069,,1855
Noël-Nicolas,Coypel,1734,http://www.the-athenaeum.org/people/detail.php?ID=6155,French,Rococo,6155,"
	     French rococo painter. He was the second son of Noël Coypel, with whom he trained, half-brother of Antoine Coypel, and uncle of Charles-Antoine Coypel.


	          He was appointed academician on 29 November 1720; his reception piece was The Abduction of Amyone by Neptune.


	          His masterpiece was The Rape of Europa, which nevertheless failed at a special contest held in 1727 by the Academy between ten of its members to encourage history painting. Coypel had perhaps painted the best work, but the prize was given to François Lemoyne and Jean-François de Troy.


	          His career did not follow the same path as the other members of the family and he was only appointed adjunct professor on 27 October 1731 and professor on 31 December 1733. His early death at 44, on 14 December 1734, prevented him from going further in the academic hierarchy, but Noël-Nicolas Coypel did not really seek for success and never exhibited in the Salon after his failure at the special contest. For this reason, he still remains today as the least known of the Coypels, despite being probably the most talented.


	          He was notably the master to Chardin.
",1690
Jean Antoine Theodore,Gudin,1880,http://www.the-athenaeum.org/people/detail.php?ID=4051,French,,4051,,1802
Edward,Armitage,1896,http://www.the-athenaeum.org/people/detail.php?ID=7019,United Kingdom,Academist,7019,Victorian-Classicism.,1817
Otto,Van veen,1629,http://www.the-athenaeum.org/people/detail.php?ID=10905,Dutch,,10905,,1556
Eberhart,Keilhau,1687,http://www.the-athenaeum.org/people/detail.php?ID=10235,Danish,,10235,,1624
Henry Stacy,Marks,1898,http://www.the-athenaeum.org/people/detail.php?ID=2272,English,,2272,"Reference:
Wilfrid Meynell: The Modern School of Art, Volume II, London 1887, pp. 111-121.",1829
Vicente,Castell y domenech,1934,http://www.the-athenaeum.org/people/detail.php?ID=10767,Spanish,,10767,,1871
,Giorgione,1510,http://www.the-athenaeum.org/people/detail.php?ID=5490,Italian,Renaissance,5490,"Italian painter from Venice. One of the founders of the Venetian school with Titian. Very few paintings can be fully attributed to the artist and only about six works are thought to be solely by his hand.  Several works are confused with the early paintings of Titian and have been re-attributed. He is famous for 'The Three Philosophers' (Vienna), 'The Tempest (Venice) and 'The Sleeping Venus' (Dresden), the first nude painting of the goddess on a large canvas.",1478
Martin,Drölling,1817,http://www.the-athenaeum.org/people/detail.php?ID=8762,French,,8762,,1752
Isaac,Grunewald,1946,http://www.the-athenaeum.org/people/detail.php?ID=4449,Swedish,Expressionist,4449,,1889
Dutch School 15th Century,Unknown,1500,http://www.the-athenaeum.org/people/detail.php?ID=2440,Dutch,,2440,,1400
Belmiro Barbosa de,Almeida,1935,http://www.the-athenaeum.org/people/detail.php?ID=9990,Brazilian,,9990,,1858
Adriano,Bonifazi,1914,http://www.the-athenaeum.org/people/detail.php?ID=10831,Italian,,10831,,1858
Byzantine School,Unknown,1600,http://www.the-athenaeum.org/people/detail.php?ID=11368,,,11368,,1200
Nicolaes Eliasz.,Pickenoy,1650,http://www.the-athenaeum.org/people/detail.php?ID=6050,Dutch,Dutch Golden Age,6050,"Dutch Baroque painter and draughtsman (Amsterdam, baptised 10 January 1588 - Amsterdam, between 1650 and 1656). ",1588
William Frederick,Yeames,1918,http://www.the-athenaeum.org/people/detail.php?ID=1515,English,,1515,,1835
Amaldus Clarin,Nielsen,1932,http://www.the-athenaeum.org/people/detail.php?ID=4569,Norwegian,,4569,,1838
Frederick George,Swaish,1931,http://www.the-athenaeum.org/people/detail.php?ID=10526,United Kingdom,,10526,,1879
Gustav,Gwozdecki,1935,http://www.the-athenaeum.org/people/detail.php?ID=10565,Polish,,10565,,1880
Johann Friedrich,Overbeck,1869,http://www.the-athenaeum.org/people/detail.php?ID=1692,German,Romantic,1692,"German painter and leader of the Nazarene movement. He settled in Rome in 1810 and stayed there until his death.
",1789
Anders,Andersen-lundby,1923,http://www.the-athenaeum.org/people/detail.php?ID=1879,Danish,,1879,,1841
Jean,Fouquet,1481,http://www.the-athenaeum.org/people/detail.php?ID=6206,French,,6206,"The foremost French painter of the 15th century.  Born in Tours, he was the first French artist to travel to Italy to study the art of the Renaissance.",1420
Alexander,Johnston,1891,http://www.the-athenaeum.org/people/detail.php?ID=2363,Scottish,,2363,,1815
Hendrick,Danckerts,1680,http://www.the-athenaeum.org/people/detail.php?ID=8632,Dutch,,8632,,1625
Chester,Harding,1866,http://www.the-athenaeum.org/people/detail.php?ID=1027,American,,1027,,1792
Wladyslaw,Slewinski,1918,http://www.the-athenaeum.org/people/detail.php?ID=2115,Polish,,2115,,1854
Bartolomeo,Bettera,1688,http://www.the-athenaeum.org/people/detail.php?ID=11225,Italian,,11225,,1639
Richard Barrett,Davis,1854,http://www.the-athenaeum.org/people/detail.php?ID=8652,English,,8652,,1782
Jacoba,Van heemskerck,1923,http://www.the-athenaeum.org/people/detail.php?ID=10318,Dutch,,10318,,1876
Karl Kristian,Uchermann,1940,http://www.the-athenaeum.org/people/detail.php?ID=10646,Norwegian,,10646,,1855
Mabel May,Woodward,1945,http://www.the-athenaeum.org/people/detail.php?ID=2106,American,,2106,,1877
Liberali di Jacomo da,Verona,1526,http://www.the-athenaeum.org/people/detail.php?ID=9185,Italian,,9185,,1445
Edward,Ladell,1886,http://www.the-athenaeum.org/people/detail.php?ID=1395,English,,1395,,1821
Hugh,Collins,1896,http://www.the-athenaeum.org/people/detail.php?ID=8489,United Kingdom,,8489,,1834
Charles,Lees,1880,http://www.the-athenaeum.org/people/detail.php?ID=3596,Scottish,,3596,,1800
Bartholomeus van,Bassen,1652,http://www.the-athenaeum.org/people/detail.php?ID=5472,Dutch,Dutch Golden Age,5472,,1590
John,Beckett,1864,http://www.the-athenaeum.org/people/detail.php?ID=7851,United Kingdom,,7851,,1799
Charles François Grenier de,Lacroix,1782,http://www.the-athenaeum.org/people/detail.php?ID=11431,French,,11431,,1725
Andre,Brouillet,1914,http://www.the-athenaeum.org/people/detail.php?ID=10813,French,,10813,,1857
Jennie,Brownscombe,1936,http://www.the-athenaeum.org/people/detail.php?ID=3353,American,,3353,,1850
William de Leftwich,Dodge,1935,http://www.the-athenaeum.org/people/detail.php?ID=2039,American,,2039,,1867
David Gilmour,Blythe,1865,http://www.the-athenaeum.org/people/detail.php?ID=683,American,,683,,1815
Matthew Ridley,Corbet,1902,http://www.the-athenaeum.org/people/detail.php?ID=8508,English,,8508,,1850
Frank Thomas,Carter,1934,http://www.the-athenaeum.org/people/detail.php?ID=8297,United Kingdom,,8297,,1853
Leghe,Suthers,1924,http://www.the-athenaeum.org/people/detail.php?ID=1382,English,,1382,,1855
Lippo,Memmi,1356,http://www.the-athenaeum.org/people/detail.php?ID=6954,Italian,,6954,,1291
,Master of alkmaar,1529,http://www.the-athenaeum.org/people/detail.php?ID=6485,Dutch,,6485,,1470
Clement,Lambert,1825,http://www.the-athenaeum.org/people/detail.php?ID=10940,United Kingdom,,10940,,1855
Herbert Gustave,Schmalz,1935,http://www.the-athenaeum.org/people/detail.php?ID=2807,English,,2807,,1857
Paul,Hoecker,1910,http://www.the-athenaeum.org/people/detail.php?ID=5373,German,,5373,,1854
Thaddeus,Welch,1919,http://www.the-athenaeum.org/people/detail.php?ID=1307,American,,1307,,1844
Ivan,Vishnyakov,1761,http://www.the-athenaeum.org/people/detail.php?ID=8862,Russian,,8862,,1699
Arthur-Dominique,Rozaire,1922,http://www.the-athenaeum.org/people/detail.php?ID=7847,Canadian,,7847,,1879
Bernardino,Mei,1676,http://www.the-athenaeum.org/people/detail.php?ID=6043,Italian,Baroque,6043,,1612
Howard Russell,Butler,1934,http://www.the-athenaeum.org/people/detail.php?ID=1931,American,,1931,,1856
Bartolomeo,Cavarozzi,1625,http://www.the-athenaeum.org/people/detail.php?ID=5984,Italian,Caravaggisti,5984,,1590
Niccolò,Foligno,1502,http://www.the-athenaeum.org/people/detail.php?ID=9840,Italian,Early Renaissance,9840,,1430
Joseph,Pennell,1916,http://www.the-athenaeum.org/people/detail.php?ID=1267,American,,1267,,1860
Carlos Vazquez,Ubeda,1944,http://www.the-athenaeum.org/people/detail.php?ID=2691,Spanish,,2691,,1869
Maria,Martinetti,1921,http://www.the-athenaeum.org/people/detail.php?ID=11116,Italian,,11116,,1864
Robert,Bagge-scott,1925,http://www.the-athenaeum.org/people/detail.php?ID=7756,United Kingdom,,7756,,1849
Albert,Prosdocimi,1925,http://www.the-athenaeum.org/people/detail.php?ID=11164,Italian,,11164,,1852
François,Rude,1855,http://www.the-athenaeum.org/people/detail.php?ID=8338,French,,8338,,1784
Carl,Hilgers,1890,http://www.the-athenaeum.org/people/detail.php?ID=6134,German,,6134,,1818
Maria Oakey,Dewing,1927,http://www.the-athenaeum.org/people/detail.php?ID=644,American,,644,"
	This person is associated with: Cornish, NH, Arts Colony
",1845
Daniel,Cunliffe,1871,http://www.the-athenaeum.org/people/detail.php?ID=8604,United Kingdom,,8604,,1801
Philippe-Jacques van,Bree,1871,http://www.the-athenaeum.org/people/detail.php?ID=10816,Belgian,,10816,,1786
Francesco,Melzi,1570,http://www.the-athenaeum.org/people/detail.php?ID=3020,Italian,,3020,,1493
John Wallace,Tucker,1869,http://www.the-athenaeum.org/people/detail.php?ID=10700,United Kingdom,,10700,,1808
Winckworth Allan,Gay,1910,http://www.the-athenaeum.org/people/detail.php?ID=888,American,,888,,1821
Ippolito,Caffi,1866,http://www.the-athenaeum.org/people/detail.php?ID=414,Italian,,414,,1809
Victor Joseph,Chavet,1908,http://www.the-athenaeum.org/people/detail.php?ID=10792,French,,10792,,1822
Francois,Van severdonck,1889,http://www.the-athenaeum.org/people/detail.php?ID=1068,Belgian,,1068,,1809
Louis Rolland,De trinquesse,1800,http://www.the-athenaeum.org/people/detail.php?ID=5630,French,Rococo,5630,,1746
Obediah,Hodges,1938,http://www.the-athenaeum.org/people/detail.php?ID=8504,United Kingdom,,8504,,1873
Walter Howell,Deverell,1854,http://www.the-athenaeum.org/people/detail.php?ID=5725,English,Pre-Raphaelite,5725,,1827
William Henry,Knight,1863,http://www.the-athenaeum.org/people/detail.php?ID=3592,English,,3592,,1823
Frédéric Théodore,Lix,1897,http://www.the-athenaeum.org/people/detail.php?ID=5163,French,,5163,,1830
Margaret,Macdonald,1933,http://www.the-athenaeum.org/people/detail.php?ID=5711,United Kingdom,Art Nouveau,5711,,1865
Giovanni di,Pietro,1528,http://www.the-athenaeum.org/people/detail.php?ID=9262,Italian,,9262,,1450
Francis,Alexander,1881,http://www.the-athenaeum.org/people/detail.php?ID=4063,American,,4063,"Francis Alexander (February 3, 1800  1881) was an American portrait-painter.
The Wikipedia article about Alexander can be found here. Another article which contains more anecdotal detail can be found at the Killingly Journal Online
The artist Francesca Alexander is his daughter.",1800
Antoine,Berjon,1843,http://www.the-athenaeum.org/people/detail.php?ID=285,French,,285,,1754
Alford Usher,Soord,1915,http://www.the-athenaeum.org/people/detail.php?ID=10939,English,,10939,,1868
DuBois Fenelon (D.F.),Hasbrouck,1917,http://www.the-athenaeum.org/people/detail.php?ID=6992,American,,6992,,1859
Wybrand,Geest,1661,http://www.the-athenaeum.org/people/detail.php?ID=7219,Dutch,Dutch Golden Age,7219,,1592
Francesco Paolo,Michetti,1929,http://www.the-athenaeum.org/people/detail.php?ID=1858,Italian,,1858,,1851
Max,Buri,1915,http://www.the-athenaeum.org/people/detail.php?ID=4152,Swiss,,4152,,1868
Bryant,Chapin,1927,http://www.the-athenaeum.org/people/detail.php?ID=667,American,,667,,1859
John,Weesop,1490,http://www.the-athenaeum.org/people/detail.php?ID=9662,Belgian,,9662,,1425
Peeter,Snyers,1752,http://www.the-athenaeum.org/people/detail.php?ID=7381,Belgian,,7381,,1681
Auguste Jules,Bouvier,1881,http://www.the-athenaeum.org/people/detail.php?ID=1508,English,,1508,,1827
Christoffel,Van den berghe,1645,http://www.the-athenaeum.org/people/detail.php?ID=5985,Dutch,Dutch Golden Age,5985,,1590
Francis Joseph,O'meara,1888,http://www.the-athenaeum.org/people/detail.php?ID=4431,Irish,,4431,,1853
Cherubino,Pata,1899,http://www.the-athenaeum.org/people/detail.php?ID=186,Italian,,186,,1827
Wyatt,Eaton,1896,http://www.the-athenaeum.org/people/detail.php?ID=3408,Canadian,,3408,,1849
Dwight,Blaney,1944,http://www.the-athenaeum.org/people/detail.php?ID=3362,American,,3362,,1865
Thomas Hewes,Hinckley,1896,http://www.the-athenaeum.org/people/detail.php?ID=1618,American,,1618,,1813
László,Paál,1879,http://www.the-athenaeum.org/people/detail.php?ID=6630,Hungarian,,6630,,1846
Rhoda Holmes,Nicholls,1930,http://www.the-athenaeum.org/people/detail.php?ID=10477,English,,10477,,1854
Alexander Joshua Caleb,Bryce,1940,http://www.the-athenaeum.org/people/detail.php?ID=8144,United Kingdom,,8144,,1868
James M.,Burnet,1816,http://www.the-athenaeum.org/people/detail.php?ID=8176,Scottish,,8176,,1788
Arthur,Ditchfield,1888,http://www.the-athenaeum.org/people/detail.php?ID=8703,United Kingdom,,8703,,1842
Sokrat,Vorobyov,1888,http://www.the-athenaeum.org/people/detail.php?ID=10039,Russian,,10039,,1817
"VON, Wilhelm",Kaulbach,1874,http://www.the-athenaeum.org/people/detail.php?ID=6589,German,,6589,,1805
Elisha Kent Kane,Wetherill,1929,http://www.the-athenaeum.org/people/detail.php?ID=1271,American,,1271,,1874
William,Gale,1909,http://www.the-athenaeum.org/people/detail.php?ID=9004,United Kingdom,,9004,,1823
Ernest Wadsworth,Longfellow,1921,http://www.the-athenaeum.org/people/detail.php?ID=1050,American,,1050,,1845
Emil,Volkers,1905,http://www.the-athenaeum.org/people/detail.php?ID=5952,German,,5952,,1831
Gustav,Hausmann,1899,http://www.the-athenaeum.org/people/detail.php?ID=11120,German,,11120,,1827
Antoine Joseph,Wiertz,1865,http://www.the-athenaeum.org/people/detail.php?ID=4405,Belgian,Romantic,4405,,1806
Hendrick,Van balen,1632,http://www.the-athenaeum.org/people/detail.php?ID=10448,Dutch,,10448,,1575
Johann Heinrich Wilhelm,Tischbein,1829,http://www.the-athenaeum.org/people/detail.php?ID=6749,German,,6749,,1751
Karl,Rabus,1857,http://www.the-athenaeum.org/people/detail.php?ID=5538,Russian,,5538,,1800
John Thomas,Serres,1825,http://www.the-athenaeum.org/people/detail.php?ID=11447,United Kingdom,,11447,,1759
Pieter van,Hanselaere,1862,http://www.the-athenaeum.org/people/detail.php?ID=5231,Belgian,,5231,,1786
Jose,Rico y cejudo,1939,http://www.the-athenaeum.org/people/detail.php?ID=11224,Spanish,,11224,,1864
Mary Curtis,Richardson,1921,http://www.the-athenaeum.org/people/detail.php?ID=3822,American,,3822,,1848
Franz,Russ,1906,http://www.the-athenaeum.org/people/detail.php?ID=6375,Austrian,,6375,,1844
Thomas R,Manley,1898,http://www.the-athenaeum.org/people/detail.php?ID=9596,American,,9596,,1853
Dario de,Regoyos y valdés,1913,http://www.the-athenaeum.org/people/detail.php?ID=4169,Spanish,,4169,,1857
Marinus Adrianus,Koekkoek,1868,http://www.the-athenaeum.org/people/detail.php?ID=2305,Dutch,,2305,,1807
Paul Wilhelm,Keller-reutlingen,1920,http://www.the-athenaeum.org/people/detail.php?ID=9555,German,,9555,,1854
Charles van,Beveren,1850,http://www.the-athenaeum.org/people/detail.php?ID=10840,Belgian,,10840,,1809
Micajah T.,Nordyke,1919,http://www.the-athenaeum.org/people/detail.php?ID=7058,American,,7058,,1847
Sigismund,Ivanowski,1944,http://www.the-athenaeum.org/people/detail.php?ID=9089,Polish,,9089,,1875
George Edmund,Butler,1936,http://www.the-athenaeum.org/people/detail.php?ID=8204,English,,8204,,1872
Walter,Blackman,1928,http://www.the-athenaeum.org/people/detail.php?ID=10292,American,,10292,,1847
Robert,Collinson,1890,http://www.the-athenaeum.org/people/detail.php?ID=8492,United Kingdom,,8492,,1823
Philipp Otto,Runge,1810,http://www.the-athenaeum.org/people/detail.php?ID=6397,German,Romantic,6397,,1777
Albrecht,Adam,1862,http://www.the-athenaeum.org/people/detail.php?ID=228,German,,228,,1786
George Arthur,Fripp,1896,http://www.the-athenaeum.org/people/detail.php?ID=8990,United Kingdom,,8990,,1813
David,Davies,1939,http://www.the-athenaeum.org/people/detail.php?ID=4749,Australian,,4749,,1864
Heinrich,Maniser,1925,http://www.the-athenaeum.org/people/detail.php?ID=9578,Russian,,9578,,1847
Vincenzo,Volpe,1929,http://www.the-athenaeum.org/people/detail.php?ID=9405,Italian,,9405,,1855
Leopold von,Stoll,1889,http://www.the-athenaeum.org/people/detail.php?ID=6268,Dutch,,6268,,1828
Richard,Cattermole,1858,http://www.the-athenaeum.org/people/detail.php?ID=5298,United Kingdom,,5298,,1795
Nina Osipovna,Kogan,1942,http://www.the-athenaeum.org/people/detail.php?ID=4967,Russian,,4967,,1887
Luis Alvarez,Catala,1901,http://www.the-athenaeum.org/people/detail.php?ID=1545,Spanish,,1545,,1836
Blandford,Fletcher,1936,http://www.the-athenaeum.org/people/detail.php?ID=8923,English,,8923,,1858
Narkiz,Bunin,1916,http://www.the-athenaeum.org/people/detail.php?ID=7620,Russian,,7620,,1856
