painting_url,short_name,painting_info_detail,period_code,creation_date,creation_place,dimension,exibit_place,technique,title,file_name,width,height
http://www.wga.hu/art/g/gogh_van/21/waterc11.jpg,gogh_van,"
,The Night Café in the Place Lamartine in Arles,
September 1888, Arles,
Watercolour, 444 x 632 mm,
Private collection,

",21,September 1888,Arles,444 x 632 mm,Private collection,Watercolour,The Night Café in the Place Lamartine in Arles,gogh_van_21_waterc11.jpg,1400,951
http://www.wga.hu/art/g/gogh_van/21/waterc12.jpg,gogh_van,"
,Flowering Bushes in the Asylum Garden,
October 1889, Saint-Rémy,
Watercolour on paper, 620 x 470 mm,
Rijksmuseum Kröller-Müller, Otterlo,

",21,October 1889,Saint-Rémy,620 x 470 mm,"Rijksmuseum Kröller-Müller, Otterlo",Watercolour on paper,Flowering Bushes in the Asylum Garden,gogh_van_21_waterc12.jpg,800,1039
http://www.wga.hu/art/m/monet/08/1london1.jpg,monet,"
,Waterloo Bridge, Effect of Fog,
1899-1901,
Oil on canvas, 65 x 100 cm,
The Hermitage, St. Petersburg,

",8,1899-1901,,65 x 100 cm,"The Hermitage, St. Petersburg",Oil on canvas,"Waterloo Bridge, Effect of Fog",monet_08_1london1.jpg,1252,800
http://www.wga.hu/art/m/monet/08/1london2.jpg,monet,"
,Waterloo Bridge,
1903,
Oil on canvas, 64 x 101 cm,
The Hermitage, St. Petersburg,

",8,1903,,64 x 101 cm,"The Hermitage, St. Petersburg",Oil on canvas,Waterloo Bridge,monet_08_1london2.jpg,1084,700
http://www.wga.hu/art/m/monet/08/1london3.jpg,monet,"
,The Houses of Parliament in London,
1904,
Oil on canvas, 81 x 92 cm,
Musée d'Orsay, Paris,

",8,1904,,81 x 92 cm,"Musée d'Orsay, Paris",Oil on canvas,The Houses of Parliament in London,monet_08_1london3.jpg,1216,1100
http://www.wga.hu/art/m/monet/08/1london4.jpg,monet,"
,The Houses of Parliament, London,
1904,
Oil on canvas, 81 x 92 cm,
Palais des Beaux-Arts, Lille,

",8,1904,,81 x 92 cm,"Palais des Beaux-Arts, Lille",Oil on canvas,"The Houses of Parliament, London",monet_08_1london4.jpg,1141,1000
http://www.wga.hu/art/m/monet/08/2venice1.jpg,monet,"
,Palazzo Contarini,
1908,
Oil on canvas, 92 x 81 cm,
Kunstmuseum, St. Gallen,

",8,1908,,92 x 81 cm,"Kunstmuseum, St. Gallen",Oil on canvas,Palazzo Contarini,monet_08_2venice1.jpg,1060,1200
http://www.wga.hu/art/m/monet/08/2venice2.jpg,monet,"
,The Palazzo Ducale Seen from San Giorgio Maggiore,
1908,
Oil on canvas, 65 x 93 cm,
Metropolitan Museum of Art, New York,

",8,1908,,65 x 93 cm,"Metropolitan Museum of Art, New York",Oil on canvas,The Palazzo Ducale Seen from San Giorgio Maggiore,monet_08_2venice2.jpg,1138,800
http://www.wga.hu/art/m/monet/08/2venice3.jpg,monet,"
,Gondola in Venice,
1908,
Oil on canvas, 81 x 55 cm,
Musée des Beaux-Arts, Nantes,

",8,1908,,81 x 55 cm,"Musée des Beaux-Arts, Nantes",Oil on canvas,Gondola in Venice,monet_08_2venice3.jpg,1045,1300
http://www.wga.hu/art/m/monet/08/2venice4.jpg,monet,"
,The Grand Canal in Venice,
1908,
Oil on canvas, 74 x 92 cm,
Museum of Fine Arts, Boston,

",8,1908,,74 x 92 cm,"Museum of Fine Arts, Boston",Oil on canvas,The Grand Canal in Venice,monet_08_2venice4.jpg,1565,1238
http://www.wga.hu/art/m/monet/08/2venice5.jpg,monet,"
,Sunset in Venice,
1908,
Oil on canvas, 73 x 92 cm,
Bridgestone Museum of Art, Tokyo,

",8,1908,,73 x 92 cm,"Bridgestone Museum of Art, Tokyo",Oil on canvas,Sunset in Venice,monet_08_2venice5.jpg,1300,1001
http://www.wga.hu/art/m/monet/08/3bridge1.jpg,monet,"
,Bridge over a Pond of Water Lilies,
1899,
Oil on canvas, 93 x 74 cm,
Metropolitan Museum of Art, New York,

",8,1899,,93 x 74 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Bridge over a Pond of Water Lilies,monet_08_3bridge1.jpg,850,1102
http://www.wga.hu/art/m/monet/08/3bridge2.jpg,monet,"
,Water Lily Pond, Harmony in Green,
1899,
Oil on canvas, 89 x 94 cm,
Musée d'Orsay, Paris,

",8,1899,,89 x 94 cm,"Musée d'Orsay, Paris",Oil on canvas,"Water Lily Pond, Harmony in Green",monet_08_3bridge2.jpg,1158,1100
http://www.wga.hu/art/m/monet/08/3bridge3.jpg,monet,"
,Water Lily Pond, Harmony in Rose,
1900,
Oil on canvas, 90 x 100 cm,
Musée d'Orsay, Paris,

",8,1900,,90 x 100 cm,"Musée d'Orsay, Paris",Oil on canvas,"Water Lily Pond, Harmony in Rose",monet_08_3bridge3.jpg,1120,1000
http://www.wga.hu/art/m/monet/08/3bridge4.jpg,monet,"
,The Water Lily Pond,
1900,
Oil on canvas, 90 x 93 cm,
Museum of Fine Arts, Boston,

",8,1900,,90 x 93 cm,"Museum of Fine Arts, Boston",Oil on canvas,The Water Lily Pond,monet_08_3bridge4.jpg,1143,1100
http://www.wga.hu/art/m/monet/08/3bridge5.jpg,monet,"
,The Japanese Bridge,
1922,
Oil on canvas, 89 x 116 cm,
Institute of Arts, Minneapolis,

",8,1922,,89 x 116 cm,"Institute of Arts, Minneapolis",Oil on canvas,The Japanese Bridge,monet_08_3bridge5.jpg,1330,1000
http://www.wga.hu/art/m/monet/08/6irises1.jpg,monet,"
,Irises in Monet's Garden at Giverny,
1900,
Oil on canvas, 81 x 92 cm,
Musée d'Orsay, Paris,

",8,1900,,81 x 92 cm,"Musée d'Orsay, Paris",Oil on canvas,Irises in Monet's Garden at Giverny,monet_08_6irises1.jpg,1343,1181
http://www.wga.hu/art/m/monet/08/6irises2.jpg,monet,"
,Weeping Willow,
1920-22,
Oil on canvas, 110 x 100 cm,
Musée d'Orsay, Paris,

",8,1920-22,,110 x 100 cm,"Musée d'Orsay, Paris",Oil on canvas,Weeping Willow,monet_08_6irises2.jpg,1100,1214
http://www.wga.hu/art/m/monet/08/7liliy01.jpg,monet,"
,Water Lilies,
1905,
Oil on canvas, 90 x 100 cm,
Museum of Fine Arts, Boston,

",8,1905,,90 x 100 cm,"Museum of Fine Arts, Boston",Oil on canvas,Water Lilies,monet_08_7liliy01.jpg,1200,1054
http://www.wga.hu/art/m/monet/08/7liliy02.jpg,monet,"
,Water Lilies,
1906,
Oil on canvas, 88 x 93 cm,
Art Institute, Chicago,

",8,1906,,88 x 93 cm,"Art Institute, Chicago",Oil on canvas,Water Lilies,monet_08_7liliy02.jpg,1212,1200
http://www.wga.hu/art/m/monet/08/7liliy03.jpg,monet,"
,Water Lilies,
1914,
Oil on canvas, 200 x 200 cm,
National Museum of Western Art, Tokyo,

",8,1914,,200 x 200 cm,"National Museum of Western Art, Tokyo",Oil on canvas,Water Lilies,monet_08_7liliy03.jpg,1110,1100
http://www.wga.hu/art/m/monet/08/7liliy04.jpg,monet,"
,Water Lilies, Green Harmony,
after 1914,
Oil on canvas, 200 x 425 cm,
Musée de l'Orangerie, Paris,

",8,after 1914,,200 x 425 cm,"Musée de l'Orangerie, Paris",Oil on canvas,"Water Lilies, Green Harmony",monet_08_7liliy04.jpg,1050,466
http://www.wga.hu/art/m/monet/08/7liliy05.jpg,monet,"
,Water Lilies, Sunset,
after 1914,
Oil on canvas, 200 x 600 cm,
Musée de l'Orangerie, Paris,

",8,after 1914,,200 x 600 cm,"Musée de l'Orangerie, Paris",Oil on canvas,"Water Lilies, Sunset",monet_08_7liliy05.jpg,1597,499
http://www.wga.hu/art/m/monet/08/7liliy06.jpg,monet,"
,Water Lilies,
1916,
Oil on canvas, 200 x 200 cm,
Bridgestone Museum of Art, Tokyo,

",8,1916,,200 x 200 cm,"Bridgestone Museum of Art, Tokyo",Oil on canvas,Water Lilies,monet_08_7liliy06.jpg,1110,1100
http://www.wga.hu/art/m/monet/08/7liliy07.jpg,monet,"
,Water Lilies,
1919,
Oil on canvas, 100 x 200 cm,
Private collection,

",8,1919,,100 x 200 cm,Private collection,Oil on canvas,Water Lilies,monet_08_7liliy07.jpg,1600,773
http://www.wga.hu/art/m/monet/08/7liliy08.jpg,monet,"
,Water Lilies,
c. 1920,
Oil on canvas, 200 x 425 cm,
Museum of Modern Art, New York,

",8,c. 1920,,200 x 425 cm,"Museum of Modern Art, New York",Oil on canvas,Water Lilies,monet_08_7liliy08.jpg,1281,600
http://www.wga.hu/art/m/monet/08/8willow.jpg,monet,"
,Irises,
1914-17,
Oil on canvas, 199 x 151 cm,
Virginia Museum of Fine Arts, Richmond,

",8,1914-17,,199 x 151 cm,"Virginia Museum of Fine Arts, Richmond",Oil on canvas,Irises,monet_08_8willow.jpg,876,1150
http://www.wga.hu/art/r/rembrand/91nonrem/01noremb.jpg,rembrand,"
,Self-Portrait,
1627,
Oil on wood, 24 x 17 cm,
Staatliche Museen, Kassel,

",19,1627,,24 x 17 cm,"Staatliche Museen, Kassel",Oil on wood,Self-Portrait,rembrand_91nonrem_01noremb.jpg,452,650
http://www.wga.hu/art/r/rembrand/91nonrem/02noremb.jpg,rembrand,"
,Old Soldier,
1630,
Oil on wood, 35 x 26 cm,
The Hermitage, St. Petersburg,

",19,1630,,35 x 26 cm,"The Hermitage, St. Petersburg",Oil on wood,Old Soldier,rembrand_91nonrem_02noremb.jpg,630,841
http://www.wga.hu/art/r/rembrand/91nonrem/03noremb.jpg,rembrand,"
,Portrait of a Young Woman,
1632,
Oil on panel, 60 x 50 cm,
Pinacoteca di Brera, Milan,

",19,1632,,60 x 50 cm,"Pinacoteca di Brera, Milan",Oil on panel,Portrait of a Young Woman,rembrand_91nonrem_03noremb.jpg,800,962
http://www.wga.hu/art/r/rembrand/91nonrem/04noremb.jpg,rembrand,"
,Rembrandt as a Young Man,
1630-35,
Oil on wood, 22 x 17 cm,
Metropolitan Museum of Art, New York,

",19,1630-35,,22 x 17 cm,"Metropolitan Museum of Art, New York",Oil on wood,Rembrandt as a Young Man,rembrand_91nonrem_04noremb.jpg,601,800
http://www.wga.hu/art/r/rembrand/91nonrem/05noremb.jpg,rembrand,"
,Study Head of an Old Man,
1630s,
Oil on wood, 21 x 18 cm,
Metropolitan Museum of Art, New York,

",19,1630s,,21 x 18 cm,"Metropolitan Museum of Art, New York",Oil on wood,Study Head of an Old Man,rembrand_91nonrem_05noremb.jpg,670,800
http://www.wga.hu/art/r/rembrand/91nonrem/06noremb.jpg,rembrand,"
,Portrait of Eleazer Swalmius,
1637,
Oil on canvas, 132 x 109 cm,
Koninklijk Museum voor Schone Kunsten, Antwerp,

",19,1637,,132 x 109 cm,"Koninklijk Museum voor Schone Kunsten, Antwerp",Oil on canvas,Portrait of Eleazer Swalmius,rembrand_91nonrem_06noremb.jpg,800,972
http://www.wga.hu/art/r/rembrand/91nonrem/07noremb.jpg,rembrand,"
,Landscape with a Seven-Arched Bridge,
1637-39,
Oil on oak, 29 x 40 cm,
Staatliche Museen, Berlin,

",19,1637-39,,29 x 40 cm,"Staatliche Museen, Berlin",Oil on oak,Landscape with a Seven-Arched Bridge,rembrand_91nonrem_07noremb.jpg,1255,900
http://www.wga.hu/art/r/rembrand/91nonrem/08noremb.jpg,rembrand,"
,Old Rabbi,
1642,
Oil on wood, 71 x 54 cm,
Szépmûvészeti Múzeum, Budapest,

",19,1642,,71 x 54 cm,"Szépmûvészeti Múzeum, Budapest",Oil on wood,Old Rabbi,rembrand_91nonrem_08noremb.jpg,640,849
http://www.wga.hu/art/r/rembrand/91nonrem/10noremb.jpg,rembrand,"
,Portrait of a Man Seated in an Armchair,
1641-43,
Oil on canvas, 108 x 83 cm,
Metropolitan Museum of Art, New York,

",19,1641-43,,108 x 83 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Man Seated in an Armchair,rembrand_91nonrem_10noremb.jpg,1300,1697
http://www.wga.hu/art/r/rembrand/91nonrem/11noremb.jpg,rembrand,"
,Saskia, the Artist's Wife,
1643,
Oil on mahogany, 75 x 60 cm,
Staatliche Museen, Berlin,

",19,1643,,75 x 60 cm,"Staatliche Museen, Berlin",Oil on mahogany,"Saskia, the Artist's Wife",rembrand_91nonrem_11noremb.jpg,1043,1300
http://www.wga.hu/art/r/rembrand/91nonrem/12noremb.jpg,rembrand,"
,Portrait of a Man with a Breastplate and Plumed Hat,
1645-49,
Oil on canvas, 121 x 98 cm,
Metropolitan Museum of Art, New York,

",19,1645-49,,121 x 98 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Man with a Breastplate and Plumed Hat,rembrand_91nonrem_12noremb.jpg,1299,1600
http://www.wga.hu/art/r/rembrand/91nonrem/13noremb.jpg,rembrand,"
,Portrait of a Woman,
1645-49,
Oil on canvas, 121 x 98 cm,
Metropolitan Museum of Art, New York,

",19,1645-49,,121 x 98 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Woman,rembrand_91nonrem_13noremb.jpg,1305,1600
http://www.wga.hu/art/r/rembrand/91nonrem/14noremb.jpg,rembrand,"
,Man with a Steel Gorget,
1645-50,
Oil on canvas, 94 x 78 cm,
Metropolitan Museum of Art, New York,

",19,1645-50,,94 x 78 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man with a Steel Gorget,rembrand_91nonrem_14noremb.jpg,1320,1600
http://www.wga.hu/art/r/rembrand/91nonrem/15noremb.jpg,rembrand,"
,Young Woman with a Red Necklace,
1645,
Oil on wood, 21 x 18 cm,
Metropolitan Museum of Art, New York,

",19,1645,,21 x 18 cm,"Metropolitan Museum of Art, New York",Oil on wood,Young Woman with a Red Necklace,rembrand_91nonrem_15noremb.jpg,722,850
http://www.wga.hu/art/r/rembrand/91nonrem/16noremb.jpg,rembrand,"
,Man in a Golden Helmet,
c. 1650,
Oil on canvas, 68 x 59 cm,
Staatliche Museen, Berlin,

",19,c. 1650,,68 x 59 cm,"Staatliche Museen, Berlin",Oil on canvas,Man in a Golden Helmet,rembrand_91nonrem_16noremb.jpg,807,1070
http://www.wga.hu/art/r/rembrand/91nonrem/17noremb.jpg,rembrand,"
,An Angel Telling Joseph in a Dream to Flee to Egypt,
c. 1650,
Oil on canvas, 105 x 83 cm,
Szépmûvészeti Múzeum, Budapest,

",19,c. 1650,,105 x 83 cm,"Szépmûvészeti Múzeum, Budapest",Oil on canvas,An Angel Telling Joseph in a Dream to Flee to Egypt,rembrand_91nonrem_17noremb.jpg,1038,1300
http://www.wga.hu/art/r/rembrand/91nonrem/18noremb.jpg,rembrand,"
,Man in Armour (Mars?),
1650s,
Oil on canvas, 102 x 91 cm,
Metropolitan Museum of Art, New York,

",19,1650s,,102 x 91 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man in Armour (Mars?),rembrand_91nonrem_18noremb.jpg,1434,1600
http://www.wga.hu/art/r/rembrand/91nonrem/19noremb.jpg,rembrand,"
,Christ and the Woman of Samaria,
c 1655,
Oil on wood, 64 x 49 cm,
Metropolitan Museum of Art, New York,

",19,c 1655,,64 x 49 cm,"Metropolitan Museum of Art, New York",Oil on wood,Christ and the Woman of Samaria,rembrand_91nonrem_19noremb.jpg,1084,1400
http://www.wga.hu/art/r/rembrand/91nonrem/20noremb.jpg,rembrand,"
,Old Woman Cutting Her Nails,
1650s,
Oil on canvas, 126 x 102 cm,
Metropolitan Museum of Art, New York,

",19,1650s,,126 x 102 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Old Woman Cutting Her Nails,rembrand_91nonrem_20noremb.jpg,1368,1700
http://www.wga.hu/art/r/rembrand/91nonrem/21noremb.jpg,rembrand,"
,Man in a Red Cloak,
1659,
Oil on wood, 38 x 31 cm,
Metropolitan Museum of Art, New York,

",19,1659,,38 x 31 cm,"Metropolitan Museum of Art, New York",Oil on wood,Man in a Red Cloak,rembrand_91nonrem_21noremb.jpg,1000,1202
http://www.wga.hu/art/r/rembrand/91nonrem/22noremb.jpg,rembrand,"
,Portrait of a Man (The Auctioneer""),
1658,
Oil on canvas, 109 x 86 cm,
Metropolitan Museum of Art, New York,

",19,1658,,109 x 86 cm,"Metropolitan Museum of Art, New York",Oil on canvas,"Portrait of a Man (The Auctioneer"")",rembrand_91nonrem_22noremb.jpg,1338,1700
http://www.wga.hu/art/r/rembrand/91nonrem/23noremb.jpg,rembrand,"
,Christ with a Staff,
1661,
Oil on canvas, 95 x 83 cm,
Metropolitan Museum of Art, New York,

",19,1661,,95 x 83 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Christ with a Staff,rembrand_91nonrem_23noremb.jpg,1330,1600
http://www.wga.hu/art/r/rembrand/91nonrem/24noremb.jpg,rembrand,"
,Pilate Washing His Hands,
1660-62,
Oil on canvas, 130 x 167 cm,
Metropolitan Museum of Art, New York,

",19,1660-62,,130 x 167 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Pilate Washing His Hands,rembrand_91nonrem_24noremb.jpg,1555,1200
http://www.wga.hu/art/r/rembrand/91nonrem/25noremb.jpg,rembrand,"
,Man in a Beret,
1675-1700,
Oil on canvas, 76 x 63 cm,
Metropolitan Museum of Art, New York,

",19,1675-1700,,76 x 63 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man in a Beret,rembrand_91nonrem_25noremb.jpg,1341,1600
http://www.wga.hu/art/r/rembrand/91nonrem/26noremb.jpg,rembrand,"
,Rembrandt's Son, Titus,
1670-1700,
Oil on canvas, 79 x 59 cm,
Metropolitan Museum of Art, New York,

",19,1670-1700,,79 x 59 cm,"Metropolitan Museum of Art, New York",Oil on canvas,"Rembrandt's Son, Titus",rembrand_91nonrem_26noremb.jpg,1200,1601
http://www.wga.hu/art/r/rembrand/91nonrem/27noremb.jpg,rembrand,"
,Man with a Beard,
1680-1710,
Oil on canvas, 73 x 64 cm,
Metropolitan Museum of Art, New York,

",19,1680-1710,,73 x 64 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man with a Beard,rembrand_91nonrem_27noremb.jpg,1311,1500
http://www.wga.hu/art/r/rubens/7graphic/01sketch.jpg,rubens,"
,St Gregory the Great with Saints,
1606,
Oil on canvas, 146 x 119 cm,
Staatliche Museen, Berlin,

",16,1606,,146 x 119 cm,"Staatliche Museen, Berlin",Oil on canvas,St Gregory the Great with Saints,rubens_7graphic_01sketch.jpg,820,1001
http://www.wga.hu/art/r/rubens/7graphic/01sketci.jpg,rubens,"
,The Lamentation,
c. 1606,
Oil on copper, 28 x 24 cm,
Cummer Museum of Art and Gardens, Jacksonville,

",16,c. 1606,,28 x 24 cm,"Cummer Museum of Art and Gardens, Jacksonville",Oil on copper,The Lamentation,rubens_7graphic_01sketci.jpg,698,800
http://www.wga.hu/art/r/rubens/7graphic/01sketcj.jpg,rubens,"
,Adoration of the Shepherds,
1608,
Oil on canvas transferred from panel, 64 x 47 cm,
The Hermitage, St. Petersburg,

",16,1608,,64 x 47 cm,"The Hermitage, St. Petersburg",Oil on canvas transferred from panel,Adoration of the Shepherds,rubens_7graphic_01sketcj.jpg,800,1113
http://www.wga.hu/art/r/rubens/7graphic/01sketck.jpg,rubens,"
,The Madonna della Vallicella Adored by Seraphim and Cherubim,
1608,
Oil on canvas, 86 x 57 cm,
Akademie der bildenden Künste, Vienna,

",16,1608,,86 x 57 cm,"Akademie der bildenden Künste, Vienna",Oil on canvas,The Madonna della Vallicella Adored by Seraphim and Cherubim,rubens_7graphic_01sketck.jpg,857,1300
http://www.wga.hu/art/r/rubens/7graphic/02sketch.jpg,rubens,"
,The Lamentation,
c. 1609,
Oil on panel, 34 x 27 cm,
Staatliche Museen, Berlin,

",16,c. 1609,,34 x 27 cm,"Staatliche Museen, Berlin",Oil on panel,The Lamentation,rubens_7graphic_02sketch.jpg,800,1007
http://www.wga.hu/art/r/rubens/7graphic/03sketch.jpg,rubens,"
,King Solomon and the Queen of Sheba,
1620,
Oil on panel, 41 x 46 cm,
Courtauld Gallery, London,

",16,1620,,41 x 46 cm,"Courtauld Gallery, London",Oil on panel,King Solomon and the Queen of Sheba,rubens_7graphic_03sketch.jpg,941,850
http://www.wga.hu/art/r/rubens/7graphic/04sketc.jpg,rubens,"
,Esther before Ahasuerus,
1620,
Oil on wood, 33 x 32 cm,
Akademie der bildenden Künste, Vienna,

",16,1620,,33 x 32 cm,"Akademie der bildenden Künste, Vienna",Oil on wood,Esther before Ahasuerus,rubens_7graphic_04sketc.jpg,1040,900
http://www.wga.hu/art/r/rubens/7graphic/04sketch.jpg,rubens,"
,'Modello' for the Assumption of Mary,
1622-25,
Oil on panel, 88 x 59 cm,
Mauritshuis, The Hague,

",16,1622-25,,88 x 59 cm,"Mauritshuis, The Hague",Oil on panel,'Modello' for the Assumption of Mary,rubens_7graphic_04sketch.jpg,999,1500
http://www.wga.hu/art/r/rubens/7graphic/05sketch.jpg,rubens,"
,Christ on the Cross,
1627,
Oil on panel, 51 x 38 cm,
Rockox House, Antwerp,

",16,1627,,51 x 38 cm,"Rockox House, Antwerp",Oil on panel,Christ on the Cross,rubens_7graphic_05sketch.jpg,829,1102
http://www.wga.hu/art/r/rubens/7graphic/06sketch.jpg,rubens,"
,The Flagellation of Christ,
-,
Oil on panel, 37,4 x 35,1 cm,
Museum voor Schone Kunsten, Ghent,

",16,-,,37,"Museum voor Schone Kunsten, Ghent","Oil on panel, ,4 x 35,1 cm",The Flagellation of Christ,rubens_7graphic_06sketch.jpg,784,900
http://www.wga.hu/art/r/rubens/7graphic/06sketci.jpg,rubens,"
,The Chariot of Apollo,
1620s,
Oil on oak panel, 99 x 73 cm,
Private collection,

",16,1620s,,99 x 73 cm,Private collection,Oil on oak panel,The Chariot of Apollo,rubens_7graphic_06sketci.jpg,803,1122
http://www.wga.hu/art/r/rubens/7graphic/07euchar.jpg,rubens,"
,The Victory of Eucharistic Truth over Heresy,
c. 1626,
Oil on panel, 86 x 105 cm,
Museo del Prado, Madrid,

",16,c. 1626,,86 x 105 cm,"Museo del Prado, Madrid",Oil on panel,The Victory of Eucharistic Truth over Heresy,rubens_7graphic_07euchar.jpg,1034,850
http://www.wga.hu/art/r/rubens/7graphic/08euchar.jpg,rubens,"
,Triumph of Church over Fury, Discord, and Hate,
1628,
Oil on panel, 86 x 91 cm,
Museo del Prado, Madrid,

",16,1628,,86 x 91 cm,"Museo del Prado, Madrid",Oil on panel,"Triumph of Church over Fury, Discord, and Hate",rubens_7graphic_08euchar.jpg,1102,900
http://www.wga.hu/art/r/rubens/7graphic/09euchar.jpg,rubens,"
,The Meeting of Abraham and Melchizedek,
1625,
Oil on panel, 66 x 82 cm,
National Gallery of Art, Washington,

",16,1625,,66 x 82 cm,"National Gallery of Art, Washington",Oil on panel,The Meeting of Abraham and Melchizedek,rubens_7graphic_09euchar.jpg,800,632
http://www.wga.hu/art/r/rubens/7graphic/10euchar.jpg,rubens,"
,The Prophet Elijah Receiving Bread and Water from an Angel,
1625-28,
Oil on canvas, 72 x 62 cm,
Musée Bonnat, Bayonne,

",16,1625-28,,72 x 62 cm,"Musée Bonnat, Bayonne",Oil on canvas,The Prophet Elijah Receiving Bread and Water from an Angel,rubens_7graphic_10euchar.jpg,564,600
http://www.wga.hu/art/r/rubens/7graphic/10sketc1.jpg,rubens,"
,Raising of the Cross,
1609-10,
Oil on wood, 68 x 107 cm,
Musée du Louvre, Paris,

",16,1609-10,,68 x 107 cm,"Musée du Louvre, Paris",Oil on wood,Raising of the Cross,rubens_7graphic_10sketc1.jpg,1410,900
