,painting_url,short_name,painting_info_detail,period_code,creation_date,creation_place,dimension,exibit_place,technique,title,creation_date,creation_place,dimension,exibit_place,technique,title
11,http://www.wga.hu/art/g/gogh_van/21/waterc12.jpg,gogh_van,"
,Flowering Bushes in the Asylum Garden,
October 1889, Saint-Rémy,
Watercolour on paper, 620 x 470 mm,
Rijksmuseum Kröller-Müller, Otterlo,

",21,October 1889,Saint-Rémy,620 x 470 mm,"Rijksmuseum Kröller-Müller, Otterlo",Watercolour on paper,Flowering Bushes in the Asylum Garden,October 1889,Saint-Rémy,620 x 470 mm,"Rijksmuseum Kröller-Müller, Otterlo",Watercolour on paper,Flowering Bushes in the Asylum Garden
12,http://www.wga.hu/art/m/monet/08/1london1.jpg,monet,"
,Waterloo Bridge, Effect of Fog,
1899-1901,
Oil on canvas, 65 x 100 cm,
The Hermitage, St. Petersburg,

",8,1899-1901,,65 x 100 cm,"The Hermitage, St. Petersburg",Oil on canvas,"Waterloo Bridge, Effect of Fog",1899-1901,,65 x 100 cm,"The Hermitage, St. Petersburg",Oil on canvas,"Waterloo Bridge, Effect of Fog"
13,http://www.wga.hu/art/m/monet/08/1london2.jpg,monet,"
,Waterloo Bridge,
1903,
Oil on canvas, 64 x 101 cm,
The Hermitage, St. Petersburg,

",8,1903,,64 x 101 cm,"The Hermitage, St. Petersburg",Oil on canvas,Waterloo Bridge,1903,,64 x 101 cm,"The Hermitage, St. Petersburg",Oil on canvas,Waterloo Bridge
14,http://www.wga.hu/art/m/monet/08/1london3.jpg,monet,"
,The Houses of Parliament in London,
1904,
Oil on canvas, 81 x 92 cm,
Musée d'Orsay, Paris,

",8,1904,,81 x 92 cm,"Musée d'Orsay, Paris",Oil on canvas,The Houses of Parliament in London,1904,,81 x 92 cm,"Musée d'Orsay, Paris",Oil on canvas,The Houses of Parliament in London
15,http://www.wga.hu/art/m/monet/08/1london4.jpg,monet,"
,The Houses of Parliament, London,
1904,
Oil on canvas, 81 x 92 cm,
Palais des Beaux-Arts, Lille,

",8,1904,,81 x 92 cm,"Palais des Beaux-Arts, Lille",Oil on canvas,"The Houses of Parliament, London",1904,,81 x 92 cm,"Palais des Beaux-Arts, Lille",Oil on canvas,"The Houses of Parliament, London"
16,http://www.wga.hu/art/m/monet/08/2venice1.jpg,monet,"
,Palazzo Contarini,
1908,
Oil on canvas, 92 x 81 cm,
Kunstmuseum, St. Gallen,

",8,1908,,92 x 81 cm,"Kunstmuseum, St. Gallen",Oil on canvas,Palazzo Contarini,1908,,92 x 81 cm,"Kunstmuseum, St. Gallen",Oil on canvas,Palazzo Contarini
17,http://www.wga.hu/art/m/monet/08/2venice2.jpg,monet,"
,The Palazzo Ducale Seen from San Giorgio Maggiore,
1908,
Oil on canvas, 65 x 93 cm,
Metropolitan Museum of Art, New York,

",8,1908,,65 x 93 cm,"Metropolitan Museum of Art, New York",Oil on canvas,The Palazzo Ducale Seen from San Giorgio Maggiore,1908,,65 x 93 cm,"Metropolitan Museum of Art, New York",Oil on canvas,The Palazzo Ducale Seen from San Giorgio Maggiore
18,http://www.wga.hu/art/m/monet/08/2venice3.jpg,monet,"
,Gondola in Venice,
1908,
Oil on canvas, 81 x 55 cm,
Musée des Beaux-Arts, Nantes,

",8,1908,,81 x 55 cm,"Musée des Beaux-Arts, Nantes",Oil on canvas,Gondola in Venice,1908,,81 x 55 cm,"Musée des Beaux-Arts, Nantes",Oil on canvas,Gondola in Venice
19,http://www.wga.hu/art/m/monet/08/2venice4.jpg,monet,"
,The Grand Canal in Venice,
1908,
Oil on canvas, 74 x 92 cm,
Museum of Fine Arts, Boston,

",8,1908,,74 x 92 cm,"Museum of Fine Arts, Boston",Oil on canvas,The Grand Canal in Venice,1908,,74 x 92 cm,"Museum of Fine Arts, Boston",Oil on canvas,The Grand Canal in Venice
20,http://www.wga.hu/art/m/monet/08/2venice5.jpg,monet,"
,Sunset in Venice,
1908,
Oil on canvas, 73 x 92 cm,
Bridgestone Museum of Art, Tokyo,

",8,1908,,73 x 92 cm,"Bridgestone Museum of Art, Tokyo",Oil on canvas,Sunset in Venice,1908,,73 x 92 cm,"Bridgestone Museum of Art, Tokyo",Oil on canvas,Sunset in Venice
21,http://www.wga.hu/art/m/monet/08/3bridge1.jpg,monet,"
,Bridge over a Pond of Water Lilies,
1899,
Oil on canvas, 93 x 74 cm,
Metropolitan Museum of Art, New York,

",8,1899,,93 x 74 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Bridge over a Pond of Water Lilies,1899,,93 x 74 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Bridge over a Pond of Water Lilies
22,http://www.wga.hu/art/m/monet/08/3bridge2.jpg,monet,"
,Water Lily Pond, Harmony in Green,
1899,
Oil on canvas, 89 x 94 cm,
Musée d'Orsay, Paris,

",8,1899,,89 x 94 cm,"Musée d'Orsay, Paris",Oil on canvas,"Water Lily Pond, Harmony in Green",1899,,89 x 94 cm,"Musée d'Orsay, Paris",Oil on canvas,"Water Lily Pond, Harmony in Green"
23,http://www.wga.hu/art/m/monet/08/3bridge3.jpg,monet,"
,Water Lily Pond, Harmony in Rose,
1900,
Oil on canvas, 90 x 100 cm,
Musée d'Orsay, Paris,

",8,1900,,90 x 100 cm,"Musée d'Orsay, Paris",Oil on canvas,"Water Lily Pond, Harmony in Rose",1900,,90 x 100 cm,"Musée d'Orsay, Paris",Oil on canvas,"Water Lily Pond, Harmony in Rose"
24,http://www.wga.hu/art/m/monet/08/3bridge4.jpg,monet,"
,The Water Lily Pond,
1900,
Oil on canvas, 90 x 93 cm,
Museum of Fine Arts, Boston,

",8,1900,,90 x 93 cm,"Museum of Fine Arts, Boston",Oil on canvas,The Water Lily Pond,1900,,90 x 93 cm,"Museum of Fine Arts, Boston",Oil on canvas,The Water Lily Pond
25,http://www.wga.hu/art/m/monet/08/3bridge5.jpg,monet,"
,The Japanese Bridge,
1922,
Oil on canvas, 89 x 116 cm,
Institute of Arts, Minneapolis,

",8,1922,,89 x 116 cm,"Institute of Arts, Minneapolis",Oil on canvas,The Japanese Bridge,1922,,89 x 116 cm,"Institute of Arts, Minneapolis",Oil on canvas,The Japanese Bridge
26,http://www.wga.hu/art/m/monet/08/6irises1.jpg,monet,"
,Irises in Monet's Garden at Giverny,
1900,
Oil on canvas, 81 x 92 cm,
Musée d'Orsay, Paris,

",8,1900,,81 x 92 cm,"Musée d'Orsay, Paris",Oil on canvas,Irises in Monet's Garden at Giverny,1900,,81 x 92 cm,"Musée d'Orsay, Paris",Oil on canvas,Irises in Monet's Garden at Giverny
27,http://www.wga.hu/art/m/monet/08/6irises2.jpg,monet,"
,Weeping Willow,
1920-22,
Oil on canvas, 110 x 100 cm,
Musée d'Orsay, Paris,

",8,1920-22,,110 x 100 cm,"Musée d'Orsay, Paris",Oil on canvas,Weeping Willow,1920-22,,110 x 100 cm,"Musée d'Orsay, Paris",Oil on canvas,Weeping Willow
28,http://www.wga.hu/art/m/monet/08/7liliy01.jpg,monet,"
,Water Lilies,
1905,
Oil on canvas, 90 x 100 cm,
Museum of Fine Arts, Boston,

",8,1905,,90 x 100 cm,"Museum of Fine Arts, Boston",Oil on canvas,Water Lilies,1905,,90 x 100 cm,"Museum of Fine Arts, Boston",Oil on canvas,Water Lilies
29,http://www.wga.hu/art/m/monet/08/7liliy02.jpg,monet,"
,Water Lilies,
1906,
Oil on canvas, 88 x 93 cm,
Art Institute, Chicago,

",8,1906,,88 x 93 cm,"Art Institute, Chicago",Oil on canvas,Water Lilies,1906,,88 x 93 cm,"Art Institute, Chicago",Oil on canvas,Water Lilies
30,http://www.wga.hu/art/m/monet/08/7liliy03.jpg,monet,"
,Water Lilies,
1914,
Oil on canvas, 200 x 200 cm,
National Museum of Western Art, Tokyo,

",8,1914,,200 x 200 cm,"National Museum of Western Art, Tokyo",Oil on canvas,Water Lilies,1914,,200 x 200 cm,"National Museum of Western Art, Tokyo",Oil on canvas,Water Lilies
31,http://www.wga.hu/art/m/monet/08/7liliy04.jpg,monet,"
,Water Lilies, Green Harmony,
after 1914,
Oil on canvas, 200 x 425 cm,
Musée de l'Orangerie, Paris,

",8,after 1914,,200 x 425 cm,"Musée de l'Orangerie, Paris",Oil on canvas,"Water Lilies, Green Harmony",after 1914,,200 x 425 cm,"Musée de l'Orangerie, Paris",Oil on canvas,"Water Lilies, Green Harmony"
32,http://www.wga.hu/art/m/monet/08/7liliy05.jpg,monet,"
,Water Lilies, Sunset,
after 1914,
Oil on canvas, 200 x 600 cm,
Musée de l'Orangerie, Paris,

",8,after 1914,,200 x 600 cm,"Musée de l'Orangerie, Paris",Oil on canvas,"Water Lilies, Sunset",after 1914,,200 x 600 cm,"Musée de l'Orangerie, Paris",Oil on canvas,"Water Lilies, Sunset"
33,http://www.wga.hu/art/m/monet/08/7liliy06.jpg,monet,"
,Water Lilies,
1916,
Oil on canvas, 200 x 200 cm,
Bridgestone Museum of Art, Tokyo,

",8,1916,,200 x 200 cm,"Bridgestone Museum of Art, Tokyo",Oil on canvas,Water Lilies,1916,,200 x 200 cm,"Bridgestone Museum of Art, Tokyo",Oil on canvas,Water Lilies
34,http://www.wga.hu/art/m/monet/08/7liliy07.jpg,monet,"
,Water Lilies,
1919,
Oil on canvas, 100 x 200 cm,
Private collection,

",8,1919,,100 x 200 cm,Private collection,Oil on canvas,Water Lilies,1919,,100 x 200 cm,Private collection,Oil on canvas,Water Lilies
35,http://www.wga.hu/art/m/monet/08/7liliy08.jpg,monet,"
,Water Lilies,
c. 1920,
Oil on canvas, 200 x 425 cm,
Museum of Modern Art, New York,

",8,c. 1920,,200 x 425 cm,"Museum of Modern Art, New York",Oil on canvas,Water Lilies,c. 1920,,200 x 425 cm,"Museum of Modern Art, New York",Oil on canvas,Water Lilies
36,http://www.wga.hu/art/m/monet/08/8willow.jpg,monet,"
,Irises,
1914-17,
Oil on canvas, 199 x 151 cm,
Virginia Museum of Fine Arts, Richmond,

",8,1914-17,,199 x 151 cm,"Virginia Museum of Fine Arts, Richmond",Oil on canvas,Irises,1914-17,,199 x 151 cm,"Virginia Museum of Fine Arts, Richmond",Oil on canvas,Irises
37,http://www.wga.hu/art/r/rembrand/91nonrem/01noremb.jpg,rembrand,"
,Self-Portrait,
1627,
Oil on wood, 24 x 17 cm,
Staatliche Museen, Kassel,

",19,1627,,24 x 17 cm,"Staatliche Museen, Kassel",Oil on wood,Self-Portrait,1627,,24 x 17 cm,"Staatliche Museen, Kassel",Oil on wood,Self-Portrait
38,http://www.wga.hu/art/r/rembrand/91nonrem/02noremb.jpg,rembrand,"
,Old Soldier,
1630,
Oil on wood, 35 x 26 cm,
The Hermitage, St. Petersburg,

",19,1630,,35 x 26 cm,"The Hermitage, St. Petersburg",Oil on wood,Old Soldier,1630,,35 x 26 cm,"The Hermitage, St. Petersburg",Oil on wood,Old Soldier
39,http://www.wga.hu/art/r/rembrand/91nonrem/03noremb.jpg,rembrand,"
,Portrait of a Young Woman,
1632,
Oil on panel, 60 x 50 cm,
Pinacoteca di Brera, Milan,

",19,1632,,60 x 50 cm,"Pinacoteca di Brera, Milan",Oil on panel,Portrait of a Young Woman,1632,,60 x 50 cm,"Pinacoteca di Brera, Milan",Oil on panel,Portrait of a Young Woman
40,http://www.wga.hu/art/r/rembrand/91nonrem/04noremb.jpg,rembrand,"
,Rembrandt as a Young Man,
1630-35,
Oil on wood, 22 x 17 cm,
Metropolitan Museum of Art, New York,

",19,1630-35,,22 x 17 cm,"Metropolitan Museum of Art, New York",Oil on wood,Rembrandt as a Young Man,1630-35,,22 x 17 cm,"Metropolitan Museum of Art, New York",Oil on wood,Rembrandt as a Young Man
41,http://www.wga.hu/art/r/rembrand/91nonrem/05noremb.jpg,rembrand,"
,Study Head of an Old Man,
1630s,
Oil on wood, 21 x 18 cm,
Metropolitan Museum of Art, New York,

",19,1630s,,21 x 18 cm,"Metropolitan Museum of Art, New York",Oil on wood,Study Head of an Old Man,1630s,,21 x 18 cm,"Metropolitan Museum of Art, New York",Oil on wood,Study Head of an Old Man
42,http://www.wga.hu/art/r/rembrand/91nonrem/06noremb.jpg,rembrand,"
,Portrait of Eleazer Swalmius,
1637,
Oil on canvas, 132 x 109 cm,
Koninklijk Museum voor Schone Kunsten, Antwerp,

",19,1637,,132 x 109 cm,"Koninklijk Museum voor Schone Kunsten, Antwerp",Oil on canvas,Portrait of Eleazer Swalmius,1637,,132 x 109 cm,"Koninklijk Museum voor Schone Kunsten, Antwerp",Oil on canvas,Portrait of Eleazer Swalmius
43,http://www.wga.hu/art/r/rembrand/91nonrem/07noremb.jpg,rembrand,"
,Landscape with a Seven-Arched Bridge,
1637-39,
Oil on oak, 29 x 40 cm,
Staatliche Museen, Berlin,

",19,1637-39,,29 x 40 cm,"Staatliche Museen, Berlin",Oil on oak,Landscape with a Seven-Arched Bridge,1637-39,,29 x 40 cm,"Staatliche Museen, Berlin",Oil on oak,Landscape with a Seven-Arched Bridge
44,http://www.wga.hu/art/r/rembrand/91nonrem/08noremb.jpg,rembrand,"
,Old Rabbi,
1642,
Oil on wood, 71 x 54 cm,
Szépmûvészeti Múzeum, Budapest,

",19,1642,,71 x 54 cm,"Szépmûvészeti Múzeum, Budapest",Oil on wood,Old Rabbi,1642,,71 x 54 cm,"Szépmûvészeti Múzeum, Budapest",Oil on wood,Old Rabbi
45,http://www.wga.hu/art/r/rembrand/91nonrem/10noremb.jpg,rembrand,"
,Portrait of a Man Seated in an Armchair,
1641-43,
Oil on canvas, 108 x 83 cm,
Metropolitan Museum of Art, New York,

",19,1641-43,,108 x 83 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Man Seated in an Armchair,1641-43,,108 x 83 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Man Seated in an Armchair
46,http://www.wga.hu/art/r/rembrand/91nonrem/11noremb.jpg,rembrand,"
,Saskia, the Artist's Wife,
1643,
Oil on mahogany, 75 x 60 cm,
Staatliche Museen, Berlin,

",19,1643,,75 x 60 cm,"Staatliche Museen, Berlin",Oil on mahogany,"Saskia, the Artist's Wife",1643,,75 x 60 cm,"Staatliche Museen, Berlin",Oil on mahogany,"Saskia, the Artist's Wife"
47,http://www.wga.hu/art/r/rembrand/91nonrem/12noremb.jpg,rembrand,"
,Portrait of a Man with a Breastplate and Plumed Hat,
1645-49,
Oil on canvas, 121 x 98 cm,
Metropolitan Museum of Art, New York,

",19,1645-49,,121 x 98 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Man with a Breastplate and Plumed Hat,1645-49,,121 x 98 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Man with a Breastplate and Plumed Hat
48,http://www.wga.hu/art/r/rembrand/91nonrem/13noremb.jpg,rembrand,"
,Portrait of a Woman,
1645-49,
Oil on canvas, 121 x 98 cm,
Metropolitan Museum of Art, New York,

",19,1645-49,,121 x 98 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Woman,1645-49,,121 x 98 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Portrait of a Woman
49,http://www.wga.hu/art/r/rembrand/91nonrem/14noremb.jpg,rembrand,"
,Man with a Steel Gorget,
1645-50,
Oil on canvas, 94 x 78 cm,
Metropolitan Museum of Art, New York,

",19,1645-50,,94 x 78 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man with a Steel Gorget,1645-50,,94 x 78 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man with a Steel Gorget
50,http://www.wga.hu/art/r/rembrand/91nonrem/15noremb.jpg,rembrand,"
,Young Woman with a Red Necklace,
1645,
Oil on wood, 21 x 18 cm,
Metropolitan Museum of Art, New York,

",19,1645,,21 x 18 cm,"Metropolitan Museum of Art, New York",Oil on wood,Young Woman with a Red Necklace,1645,,21 x 18 cm,"Metropolitan Museum of Art, New York",Oil on wood,Young Woman with a Red Necklace
51,http://www.wga.hu/art/r/rembrand/91nonrem/16noremb.jpg,rembrand,"
,Man in a Golden Helmet,
c. 1650,
Oil on canvas, 68 x 59 cm,
Staatliche Museen, Berlin,

",19,c. 1650,,68 x 59 cm,"Staatliche Museen, Berlin",Oil on canvas,Man in a Golden Helmet,c. 1650,,68 x 59 cm,"Staatliche Museen, Berlin",Oil on canvas,Man in a Golden Helmet
52,http://www.wga.hu/art/r/rembrand/91nonrem/17noremb.jpg,rembrand,"
,An Angel Telling Joseph in a Dream to Flee to Egypt,
c. 1650,
Oil on canvas, 105 x 83 cm,
Szépmûvészeti Múzeum, Budapest,

",19,c. 1650,,105 x 83 cm,"Szépmûvészeti Múzeum, Budapest",Oil on canvas,An Angel Telling Joseph in a Dream to Flee to Egypt,c. 1650,,105 x 83 cm,"Szépmûvészeti Múzeum, Budapest",Oil on canvas,An Angel Telling Joseph in a Dream to Flee to Egypt
53,http://www.wga.hu/art/r/rembrand/91nonrem/18noremb.jpg,rembrand,"
,Man in Armour (Mars?),
1650s,
Oil on canvas, 102 x 91 cm,
Metropolitan Museum of Art, New York,

",19,1650s,,102 x 91 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man in Armour (Mars?),1650s,,102 x 91 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man in Armour (Mars?)
54,http://www.wga.hu/art/r/rembrand/91nonrem/19noremb.jpg,rembrand,"
,Christ and the Woman of Samaria,
c 1655,
Oil on wood, 64 x 49 cm,
Metropolitan Museum of Art, New York,

",19,c 1655,,64 x 49 cm,"Metropolitan Museum of Art, New York",Oil on wood,Christ and the Woman of Samaria,c 1655,,64 x 49 cm,"Metropolitan Museum of Art, New York",Oil on wood,Christ and the Woman of Samaria
55,http://www.wga.hu/art/r/rembrand/91nonrem/20noremb.jpg,rembrand,"
,Old Woman Cutting Her Nails,
1650s,
Oil on canvas, 126 x 102 cm,
Metropolitan Museum of Art, New York,

",19,1650s,,126 x 102 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Old Woman Cutting Her Nails,1650s,,126 x 102 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Old Woman Cutting Her Nails
56,http://www.wga.hu/art/r/rembrand/91nonrem/21noremb.jpg,rembrand,"
,Man in a Red Cloak,
1659,
Oil on wood, 38 x 31 cm,
Metropolitan Museum of Art, New York,

",19,1659,,38 x 31 cm,"Metropolitan Museum of Art, New York",Oil on wood,Man in a Red Cloak,1659,,38 x 31 cm,"Metropolitan Museum of Art, New York",Oil on wood,Man in a Red Cloak
57,http://www.wga.hu/art/r/rembrand/91nonrem/22noremb.jpg,rembrand,"
,Portrait of a Man (The Auctioneer""),
1658,
Oil on canvas, 109 x 86 cm,
Metropolitan Museum of Art, New York,

",19,1658,,109 x 86 cm,"Metropolitan Museum of Art, New York",Oil on canvas,"Portrait of a Man (The Auctioneer"")",1658,,109 x 86 cm,"Metropolitan Museum of Art, New York",Oil on canvas,"Portrait of a Man (The Auctioneer"")"
58,http://www.wga.hu/art/r/rembrand/91nonrem/23noremb.jpg,rembrand,"
,Christ with a Staff,
1661,
Oil on canvas, 95 x 83 cm,
Metropolitan Museum of Art, New York,

",19,1661,,95 x 83 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Christ with a Staff,1661,,95 x 83 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Christ with a Staff
59,http://www.wga.hu/art/r/rembrand/91nonrem/24noremb.jpg,rembrand,"
,Pilate Washing His Hands,
1660-62,
Oil on canvas, 130 x 167 cm,
Metropolitan Museum of Art, New York,

",19,1660-62,,130 x 167 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Pilate Washing His Hands,1660-62,,130 x 167 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Pilate Washing His Hands
60,http://www.wga.hu/art/r/rembrand/91nonrem/25noremb.jpg,rembrand,"
,Man in a Beret,
1675-1700,
Oil on canvas, 76 x 63 cm,
Metropolitan Museum of Art, New York,

",19,1675-1700,,76 x 63 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man in a Beret,1675-1700,,76 x 63 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man in a Beret
61,http://www.wga.hu/art/r/rembrand/91nonrem/26noremb.jpg,rembrand,"
,Rembrandt's Son, Titus,
1670-1700,
Oil on canvas, 79 x 59 cm,
Metropolitan Museum of Art, New York,

",19,1670-1700,,79 x 59 cm,"Metropolitan Museum of Art, New York",Oil on canvas,"Rembrandt's Son, Titus",1670-1700,,79 x 59 cm,"Metropolitan Museum of Art, New York",Oil on canvas,"Rembrandt's Son, Titus"
62,http://www.wga.hu/art/r/rembrand/91nonrem/27noremb.jpg,rembrand,"
,Man with a Beard,
1680-1710,
Oil on canvas, 73 x 64 cm,
Metropolitan Museum of Art, New York,

",19,1680-1710,,73 x 64 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man with a Beard,1680-1710,,73 x 64 cm,"Metropolitan Museum of Art, New York",Oil on canvas,Man with a Beard
63,http://www.wga.hu/art/r/rubens/7graphic/01sketch.jpg,rubens,"
,St Gregory the Great with Saints,
1606,
Oil on canvas, 146 x 119 cm,
Staatliche Museen, Berlin,

",16,1606,,146 x 119 cm,"Staatliche Museen, Berlin",Oil on canvas,St Gregory the Great with Saints,1606,,146 x 119 cm,"Staatliche Museen, Berlin",Oil on canvas,St Gregory the Great with Saints
64,http://www.wga.hu/art/r/rubens/7graphic/01sketci.jpg,rubens,"
,The Lamentation,
c. 1606,
Oil on copper, 28 x 24 cm,
Cummer Museum of Art and Gardens, Jacksonville,

",16,c. 1606,,28 x 24 cm,"Cummer Museum of Art and Gardens, Jacksonville",Oil on copper,The Lamentation,c. 1606,,28 x 24 cm,"Cummer Museum of Art and Gardens, Jacksonville",Oil on copper,The Lamentation
65,http://www.wga.hu/art/r/rubens/7graphic/01sketcj.jpg,rubens,"
,Adoration of the Shepherds,
1608,
Oil on canvas transferred from panel, 64 x 47 cm,
The Hermitage, St. Petersburg,

",16,1608,,64 x 47 cm,"The Hermitage, St. Petersburg",Oil on canvas transferred from panel,Adoration of the Shepherds,1608,,64 x 47 cm,"The Hermitage, St. Petersburg",Oil on canvas transferred from panel,Adoration of the Shepherds
